mod;cod;marca;clase;tipo1;tipo2;tipo3;peso;serv;valor02;valor03;valor04;valor05;valor06;valor07;valor08;valor09;valor10;valor11;valor12;valor13;valor14;valor15;valor16;valor17;valor18;valor19;um;importado;bcpp;pesokg;potencia
F;03417171;HONDA         ;MOTOCICLETA     ;DREAM          ;NEO            ;MT 110CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    2700;    2900;    3100;    3300;    3700;T;F;    4255;  107;  8
F;03417174;HONDA         ;MOTOCICLETA     ;CB             ;500 F          ;MT 500CC ABS   ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   18400;   20800;   23500;   26600;   28000;F;T;   35000;  192; 47
F;03417177;HONDA         ;MOTOCICLETA     ;CB             ;1 PRO          ;MT 125CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    2800;    3000;    3200;       0;    3900;T;F;    4485;  111;  9
F;03417178;HONDA         ;MOTOCICLETA     ;CB             ;190R           ;MT 190CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    6900;    7500;    8100;    9200;T;F;   10600;  131; 16
F;03417183;HONDA         ;MOTOCICLETA     ;CB             ;160F DLX       ;MT 160CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    5700;    6200;    7300;T;F;    8400;  130; 15
F;03417184;HONDA         ;MOTOCICLETA     ;CB             ;160F STD       ;MT 160CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    4700;    5100;    5500;    6500;T;F;    7500;  128; 15
F;03417185;HONDA         ;MOTOCICLETA     ;CB             ;250 TWISTER    ;MT 250CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   10600;   11300;   12400;F;T;   15500;  135; 22
F;03417187;HONDA         ;MOTOCICLETA     ;CB             ;125F           ;MT 125CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    3900;    4900;       0;    4900;F;F;    5600;  128; 10
F;03417188;HONDA         ;MOTOCICLETA     ;NC [2]         ;750X D         ;TP 750CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   43000;       0;   43000;F;T;   53800;  221; 54
F;03417191;HONDA         ;MOTOCICLETA     ;CB             ;110 DLX        ;MT 110CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    3900;    4400;T;F;    5100;  102;  9
F;03418004;HONDA         ;MOTOCICLETA     ;SHADOW         ;VLX 600        ;MT 600CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   24000;F;T;   30000;  206; 79
F;03418006;HONDA         ;MOTOCICLETA     ;AERO           ;100            ;MT 100CC       ;1;1;       0;       0;       0;       0;     800;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    2600;F;T;    3300;   75;  8
F;03418008;HONDA         ;MOTOCICLETA     ;MAGNA          ;VF 750         ;MT 750CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   25200;F;T;   31500;  195; 84
F;03418009;HONDA         ;MOTOCICLETA     ;CD             ;100            ;MT 100CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    3200;F;T;    4000;  114;  7
F;03418018;HONDA         ;MOTOCICLETA     ;SPLENDOR       ;100            ;MT 100CC       ;1;1;     650;     700;     800;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    3200;F;F;    3700;  109;  8
F;03418029;HONDA         ;MOTOCICLETA     ;CB             ;250 NIGHTHAWK  ;MT 250CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   15000;F;T;   18800;  132; 20
